,0,1,2,3,4,5
0,0.595,0.773,-0.344,-0.978,0.866,-0.978
1,2.179,-0.516,-0.843,-2.004,1.383,-2.004
2,-0.24,0.919,-0.227,-0.202,0.202,-0.202
3,-0.064,0.268,-0.085,-0.32,0.465,-0.32
4,-0.685,-1.474,-0.383,0.693,-0.947,0.693
5,1.625,-0.098,-0.436,-1.561,1.349,-1.561
6,0.28,0.249,0.212,-0.458,0.898,-0.458
7,-0.446,-1.108,-0.191,0.118,-0.093,0.118
8,-0.511,-0.186,-0.087,0.301,-0.181,0.301
9,-0.713,-0.004,-0.558,0.802,-1.31,0.802
10,-0.541,-0.371,-0.529,0.125,-0.447,0.125
11,-0.491,-1.341,-0.504,0.031,-0.321,0.031
12,-0.669,-0.868,-0.074,0.785,-0.714,0.785
13,-0.56,0.4,-0.337,0.276,-0.411,0.276
14,-0.722,0.127,-0.391,1.007,-1.433,1.007
15,-0.547,-0.11,-0.459,0.176,-0.43,0.176
16,-0.718,0.881,-0.122,1.118,-1.247,1.118
17,-0.634,0.902,0.213,0.799,-0.418,0.799
18,-0.726,-1.087,0.077,1.392,-1.56,1.392
19,0.543,1.671,0.171,-0.666,1.065,-0.666
20,0.722,1.49,0.22,-0.751,1.197,-0.751
21,-0.638,0.379,-0.019,0.684,-0.534,0.684
22,0.473,1.37,0.127,-0.643,0.998,-0.643
23,0.718,0.289,-0.444,-1.108,0.896,-1.108
24,-0.695,0.128,0.176,1.076,-0.803,1.076
25,-0.723,0.029,0.026,1.291,-1.371,1.291
26,-0.276,0.167,-0.514,-0.313,0.028,-0.313
27,-0.042,-0.21,-0.226,-0.418,0.423,-0.418
28,0.87,0.926,0.339,-0.773,1.335,-0.773
29,-0.458,-0.785,-0.031,0.227,-0.045,0.227
30,1.191,-1.566,-0.448,-1.367,1.147,-1.367
31,0.145,-1.291,-0.301,-0.628,0.56,-0.628
32,0.424,0.698,-0.106,-0.736,0.86,-0.736
33,-0.172,0.85,-0.254,-0.297,0.272,-0.297
34,0.057,-0.693,-0.065,-0.424,0.589,-0.424
35,4.293,1.709,0.317,-2.033,2.538,-2.033
36,-0.253,0.92,-0.189,-0.166,0.203,-0.166
37,-0.74,-2.229,2.082,1.795,-2.307,1.795
38,-0.451,-0.873,-0.066,0.196,-0.048,0.196
39,-0.231,0.331,-0.573,-0.401,0.06,-0.401
40,-0.048,-0.357,-0.334,-0.471,0.369,-0.471
41,0.762,-0.22,-0.611,-1.224,0.847,-1.224
42,-0.717,1.288,0.087,1.223,-1.14,1.223
43,-0.438,-1.124,-0.201,0.099,-0.083,0.099
44,0.457,0.796,-0.154,-0.784,0.862,-0.784
45,0.103,-0.979,-0.136,-0.503,0.598,-0.503
46,-0.552,-1.4,-1.197,-0.216,-0.769,-0.216
47,-0.723,-0.117,0.222,1.425,-1.354,1.425
48,-0.662,-0.324,0.135,0.869,-0.585,0.869
49,-0.575,1.064,-0.11,0.439,-0.354,0.439
50,-0.486,-0.383,0.044,0.321,-0.068,0.321
51,-0.375,-0.45,-0.12,0.041,0.059,0.041
52,-0.626,0.743,-0.052,0.624,-0.5,0.624
53,0.172,-2.4,-0.948,-1.001,0.292,-1.001
54,0.891,0.568,0.209,-0.855,1.288,-0.855
55,-0.67,-1.418,-0.383,0.617,-0.851,0.617
56,-0.713,1.395,0.131,1.206,-1.051,1.206
57,-0.353,-0.206,-0.161,-0.014,0.075,-0.014
58,0.631,1.262,-0.055,-0.844,1.018,-0.844
59,1.835,1.191,-0.068,-1.45,1.601,-1.45
60,-0.725,-0.868,0.292,1.528,-1.547,1.528
61,-0.328,0.03,-0.232,-0.088,0.08,-0.088
62,-0.723,-0.067,-0.116,1.205,-1.414,1.205
63,0.19,-1.859,-0.682,-0.872,0.426,-0.872
64,0.453,0.989,-0.033,-0.716,0.913,-0.716
65,1.66,0.213,-0.339,-1.523,1.408,-1.523
66,-0.482,-1.874,-0.726,-0.108,-0.4,-0.108
67,-0.392,-1.464,-0.58,-0.184,-0.172,-0.184
68,-0.074,-0.262,-0.422,-0.494,0.304,-0.494
69,-0.725,-0.74,0.043,1.346,-1.483,1.346
70,1.722,1.205,0.092,-1.317,1.627,-1.317
71,2.249,0.159,-0.354,-1.766,1.629,-1.766
72,-0.677,-1.427,-0.331,0.68,-0.871,0.68
73,-0.139,0.542,-0.311,-0.365,0.284,-0.365
74,-0.527,0.453,0.065,0.419,-0.151,0.419
75,0.038,-0.361,0.058,-0.341,0.627,-0.341
76,-0.587,-0.408,-0.965,0.0,-0.765,0.0
77,-0.012,-0.626,-0.296,-0.486,0.421,-0.486
78,-0.434,-0.947,-0.107,0.143,-0.034,0.143
79,1.004,-0.595,-0.121,-1.094,1.2,-1.094
80,-0.73,-0.294,1.943,2.084,-1.907,2.084
81,0.571,0.972,-0.233,-0.903,0.901,-0.903
82,-0.49,-1.667,-0.67,-0.062,-0.392,-0.062
83,-0.633,0.341,-0.162,0.586,-0.574,0.586
84,0.339,-0.487,-0.445,-0.858,0.648,-0.858
85,-0.604,1.467,0.091,0.632,-0.356,0.632
86,1.491,0.51,0.232,-1.141,1.592,-1.141
87,0.797,0.589,-0.068,-0.951,1.111,-0.951
88,0.101,-0.934,-0.113,-0.489,0.607,-0.489
89,-0.295,0.15,-0.41,-0.231,0.048,-0.231
90,0.09,-1.841,-0.624,-0.757,0.368,-0.757
91,0.181,-0.866,-0.111,-0.555,0.676,-0.555
92,-0.725,0.36,0.671,1.768,-1.734,1.768
93,-0.726,0.819,0.611,1.72,-1.87,1.72
