,0
0,1.807
1,1.231
2,1.668
3,2.011
4,0.515
5,1.846
6,2.65
7,1.54
8,1.619
9,-0.205
10,0.827
11,0.954
12,1.148
13,1.111
14,-0.318
15,0.934
16,0.272
17,1.808
18,-0.485
19,2.66
20,2.786
21,1.407
22,2.566
23,1.669
24,1.307
25,0.075
26,1.16
27,1.785
28,3.018
29,1.792
30,1.756
31,1.739
32,2.16
33,1.666
34,2.1
35,3.363
36,1.722
37,-0.588
38,1.742
39,1.094
40,1.601
41,1.399
42,0.648
43,1.532
44,2.09
45,2.001
46,-0.311
47,0.209
48,1.539
49,1.456
50,1.879
51,1.735
52,1.399
53,0.663
54,2.804
55,0.631
56,0.858
57,1.688
58,2.302
59,2.492
60,-0.444
61,1.592
62,-0.107
63,1.116
64,2.292
65,2.013
66,0.596
67,0.948
68,1.439
69,-0.237
70,2.746
71,2.061
72,0.667
73,1.59
74,1.847
75,2.299
76,-0.003
77,1.681
78,1.694
79,2.272
80,0.42
81,1.987
82,0.677
83,1.191
84,1.566
85,1.714
86,2.949
87,2.318
88,2.038
89,1.32
90,1.175
91,2.074
92,-2.574
93,-1.205
94,1.569
95,1.854
96,2.433
97,1.592
98,0.233
99,0.2
100,2.377
101,1.75
102,2.265
103,-1.118
104,0.954
105,1.891
106,0.425
107,2.482
108,0.334
109,1.894
110,2.088
111,2.065
112,1.826
113,1.433
114,0.422
115,0.255
116,0.865
117,0.838
118,1.773
119,1.882
120,2.33
121,1.652
122,1.831
123,1.29
124,0.969
125,1.145
126,2.21
127,2.411
128,1.59
129,0.476
130,2.393
131,1.939
132,1.265
133,-0.288
134,1.34
135,0.759
136,-1.14
137,1.98
138,0.981
139,-0.003
140,1.154
141,1.307
142,0.992
143,1.8
144,1.257
145,2.095
146,1.174
147,2.057
148,1.191
149,-1.464
150,1.9
151,1.13
152,1.084
153,0.313
154,0.879
155,1.878
156,1.936
157,0.204
158,3.337
159,0.082
160,1.473
161,0.711
162,0.328
163,2.366
164,0.985
165,1.019
166,0.752
167,2.285
168,0.259
169,1.522
170,2.066
171,1.429
172,1.938
173,3.02
174,-0.275
175,0.087
176,1.466
177,1.475
178,-0.146
179,1.016
180,2.498
181,2.182
182,1.09
183,0.625
184,2.611
185,1.721
186,1.884
187,1.052
188,2.026
189,1.709
190,1.527
191,3.313
192,0.24
193,2.665
194,1.27
195,1.674
196,0.788
197,2.206
198,1.964
199,1.089
200,2.762
201,1.65
202,1.22
203,0.591
204,2.809
205,-0.115
206,-0.361
207,0.858
208,0.81
209,2.681
210,2.915
211,1.607
212,2.5
213,1.03
214,0.437
215,2.111
216,2.329
217,0.803
218,0.674
219,2.801
220,-0.654
221,1.024
222,1.41
223,2.393
224,1.258
225,2.295
226,1.212
227,2.039
228,2.095
229,3.103
230,1.177
231,1.772
232,1.763
233,0.514
234,1.68
235,0.482
236,2.338
237,2.377
238,2.364
239,2.096
240,1.755
241,1.535
242,1.755
243,1.04
244,2.301
245,1.682
246,1.667
247,1.023
248,0.758
249,0.013
250,1.365
251,2.491
252,1.105
253,0.725
254,2.025
255,-0.123
256,1.675
257,0.582
258,1.586
259,1.238
260,0.695
261,0.455
262,1.74
263,2.548
264,1.23
265,1.911
266,1.747
267,2.139
268,1.11
269,3.144
270,2.639
271,1.086
272,0.72
273,1.917
274,2.063
275,2.003
276,1.68
277,0.858
278,1.996
279,-0.172
280,2.802
281,-0.577
282,1.334
283,2.647
284,1.603
285,-0.043
286,0.056
287,0.843
288,1.329
289,1.462
290,2.2
291,0.948
292,1.91
293,1.978
294,2.516
295,1.562
296,1.768
297,1.949
298,1.343
299,2.311
300,1.494
301,1.272
302,1.872
303,2.52
304,1.574
305,0.861
306,2.369
307,1.97
308,0.88
309,-0.613
310,0.986
311,1.518
312,0.9
313,2.325
314,2.199
315,0.94
316,0.611
317,1.586
318,1.028
319,0.317
320,1.974
321,0.843
322,1.723
323,0.471
324,2.657
